date,close,symbol,time
2026-05-20,44.66,EZBC,12:45:00
2026-05-20,44.69,EZBC,13:00:00
2026-05-20,44.8,EZBC,13:15:00
2026-05-20,44.86,EZBC,13:30:00
2026-05-20,44.78,EZBC,13:45:00
2026-05-20,44.75,EZBC,14:00:00
2026-05-20,44.75,EZBC,14:15:00
2026-05-20,44.74,EZBC,14:30:00
2026-05-20,44.7,EZBC,14:45:00
2026-05-20,44.7,EZBC,15:00:00
2026-05-20,44.8,EZBC,15:15:00
2026-05-20,44.83,EZBC,15:30:00
2026-05-20,44.86,EZBC,15:45:00
2026-05-21,44.31,EZBC,09:30:00
2026-05-21,44.53,EZBC,09:45:00
2026-05-21,44.5,EZBC,10:00:00
2026-05-21,44.49,EZBC,10:15:00
2026-05-21,44.45,EZBC,10:30:00
2026-05-21,44.44,EZBC,10:45:00
2026-05-21,44.54,EZBC,11:00:00
2026-05-21,44.61,EZBC,11:15:00
2026-05-21,44.59,EZBC,11:30:00
2026-05-21,44.61,EZBC,11:45:00
2026-05-21,44.62,EZBC,12:00:00
2026-05-21,44.56,EZBC,12:15:00
2026-05-21,44.5,EZBC,12:30:00
2026-05-21,44.58,EZBC,12:45:00
2026-05-21,44.78,EZBC,13:00:00
2026-05-21,45.03,EZBC,13:15:00
2026-05-21,44.99,EZBC,13:30:00
2026-05-21,44.97,EZBC,13:45:00
2026-05-21,44.88,EZBC,14:00:00
2026-05-21,44.89,EZBC,14:15:00
2026-05-21,44.91,EZBC,14:30:00
2026-05-21,44.69,EZBC,14:45:00
2026-05-21,44.78,EZBC,15:00:00
2026-05-21,44.78,EZBC,15:15:00
2026-05-21,44.83,EZBC,15:30:00
2026-05-21,44.87,EZBC,15:45:00
2026-05-22,44.58,EZBC,09:30:00
2026-05-22,44.66,EZBC,09:45:00
2026-05-22,44.5,EZBC,10:00:00
2026-05-22,44.37,EZBC,10:15:00
2026-05-22,44.35,EZBC,10:30:00
2026-05-22,44.33,EZBC,10:45:00
2026-05-22,44.34,EZBC,11:00:00
2026-05-22,44.42,EZBC,11:15:00
2026-05-22,44.3,EZBC,11:30:00
2026-05-22,44.34,EZBC,11:45:00
2026-05-22,44.39,EZBC,12:00:00
2026-05-22,44.43,EZBC,12:15:00
2026-05-22,44.41,EZBC,12:30:00
2026-05-22,44.44,EZBC,12:45:00
2026-05-22,44.45,EZBC,13:00:00
2026-05-22,44.51,EZBC,13:15:00
2026-05-22,44.44,EZBC,13:30:00
2026-05-22,44.31,EZBC,13:45:00
2026-05-22,44.35,EZBC,14:00:00
2026-05-22,44.35,EZBC,14:15:00
2026-05-22,44.22,EZBC,14:30:00
